InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-502589,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,3,2025-07-11 10:52:57,9.99,CUST-10490,United Kingdom
INV-502272,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,3,2025-11-21 10:50:56,14.5,CUST-10192,France
INV-502308,PROD-104,Organic Lavender Candle,Home Decor,2,2025-08-02 18:27:01,12.0,CUST-10080,United Kingdom
INV-501102,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-11-11 09:20:32,34.5,CUST-10877,Germany
INV-500810,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,6,2025-11-14 11:01:25,19.99,CUST-10128,Germany
INV-503763,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,4,2025-05-24 21:27:02,24.0,CUST-11029,United Kingdom
INV-500076,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-08-04 19:03:10,24.0,CUST-10020,United Kingdom
INV-502309,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-12-27 02:29:37,89.99,CUST-10850,Netherlands
INV-501025,PROD-104,Organic Lavender Candle,Home Decor,1,2025-11-20 13:36:07,12.0,CUST-10027,United Kingdom
INV-502064,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-01-15 20:34:32,45.0,CUST-10449,United States
INV-504439,PROD-106,Leather Executive Notebook,Stationery,1,2025-08-05 04:11:10,22.5,CUST-10922,United Kingdom
INV-502741,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-02-04 22:54:33,28.99,CUST-10927,United Kingdom
INV-503999,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-07-02 05:58:20,14.5,CUST-10651,United States
INV-503228,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-09-27 02:46:51,24.0,CUST-10832,Netherlands
INV-504269,PROD-104,Organic Lavender Candle,Home Decor,1,2025-12-24 13:20:39,12.0,CUST-10234,Germany
INV-503558,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-04-10 02:28:16,24.0,CUST-10423,United Kingdom
INV-500845,PROD-106,Leather Executive Notebook,Stationery,1,2025-01-07 22:15:18,22.5,CUST-10604,United Kingdom
INV-500692,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,3,2025-01-30 11:05:58,19.99,CUST-11160,United Kingdom
INV-504048,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,5,2025-11-01 11:38:32,16.75,CUST-10081,United Kingdom
INV-501332,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-05-24 00:13:34,9.99,CUST-10317,Germany
INV-503037,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-04-21 20:54:36,45.0,CUST-10364,United Kingdom
INV-504332,PROD-106,Leather Executive Notebook,Stationery,1,2025-08-20 06:51:59,22.5,CUST-10764,Netherlands
INV-501274,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-06-28 05:35:50,18.25,CUST-10739,United States
INV-501244,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,4,2025-03-13 19:34:54,24.0,CUST-10399,France
C500337,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,-3,2025-07-29 01:03:45,16.75,CUST-10355,France
INV-503294,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-08-08 13:59:28,19.99,CUST-10935,United States
INV-500336,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-03-21 04:06:40,45.0,CUST-10234,United Kingdom
INV-501867,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-03-24 20:58:55,9.99,CUST-10034,France
INV-504005,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-02-11 23:59:50,9.99,CUST-10638,United Kingdom
INV-500494,PROD-106,Leather Executive Notebook,Stationery,1,2025-09-30 20:50:17,22.5,CUST-10338,United States
INV-503886,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,12,2025-07-10 13:28:25,24.0,CUST-11076,United Kingdom
INV-500160,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,5,2025-06-22 16:04:59,34.5,CUST-10442,United Kingdom
INV-502036,PROD-104,Organic Lavender Candle,Home Decor,1,2025-01-07 22:59:42,12.0,CUST-10419,Germany
INV-501741,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-06-04 06:16:41,89.99,CUST-10705,United Kingdom
INV-501507,PROD-104,Organic Lavender Candle,Home Decor,10,2025-01-10 02:57:57,12.0,CUST-10751,Australia
INV-503560,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-02-03 08:12:32,14.5,,Germany
INV-501375,PROD-106,Leather Executive Notebook,Stationery,3,2025-02-05 18:51:31,22.5,CUST-10292,United Kingdom
INV-501553,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-01-06 20:44:53,24.0,CUST-10206,United Kingdom
INV-502281,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-08-03 09:14:52,28.99,CUST-11124,Germany
INV-501868,PROD-106,Leather Executive Notebook,Stationery,1,2025-05-14 18:21:37,22.5,CUST-10434,France
INV-501601,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-10-12 20:28:23,19.99,CUST-10238,Netherlands
INV-503827,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-05-06 04:29:44,28.99,CUST-11147,United Kingdom
C503480,PROD-110,Smart LED Desk Lamp,Electronics,-1,2025-12-03 16:57:26,45.0,CUST-10517,United Kingdom
INV-501299,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-06-23 18:32:21,89.99,CUST-10736,United Kingdom
INV-500710,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-06-01 17:02:57,14.5,CUST-10148,United Kingdom
INV-504167,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-11-27 03:20:39,18.25,CUST-10056,United Kingdom
INV-502046,PROD-104,Organic Lavender Candle,Home Decor,2,2025-01-26 12:32:41,12.0,CUST-10155,United Kingdom
INV-502881,PROD-104,Organic Lavender Candle,Home Decor,1,2025-04-25 09:43:26,12.0,CUST-10535,Germany
INV-501817,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-10-11 04:52:24,28.99,CUST-10114,United States
INV-502198,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-03-16 03:36:27,34.5,CUST-10603,United Kingdom
INV-503332,PROD-106,Leather Executive Notebook,Stationery,1,2025-06-15 01:27:19,22.5,CUST-10330,United Kingdom
INV-501103,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,5,2025-07-08 12:26:25,16.75,CUST-10365,United Kingdom
INV-503177,PROD-106,Leather Executive Notebook,Stationery,5,2025-03-19 06:29:18,22.5,CUST-10885,France
INV-503594,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-03-31 22:57:54,18.25,CUST-11060,United States
INV-503474,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,5,2025-06-25 15:40:50,9.99,CUST-10296,United Kingdom
INV-502177,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-01-21 07:53:48,28.99,CUST-10464,United Kingdom
INV-501194,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-02-23 02:31:36,16.75,CUST-10846,United Kingdom
INV-500535,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-07-03 13:13:02,18.25,CUST-10737,United Kingdom
INV-501069,PROD-106,Leather Executive Notebook,Stationery,5,2025-12-25 06:48:56,22.5,CUST-10872,United Kingdom
INV-504369,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-08-10 15:56:35,45.0,CUST-10810,Spain
INV-500132,PROD-102,Wireless Ergonomic Mouse,Electronics,20,2025-11-11 18:55:57,28.99,CUST-10485,United Kingdom
INV-500263,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,4,2025-11-24 19:18:04,24.0,CUST-10398,United Kingdom
INV-504462,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-06-28 00:21:27,14.5,CUST-11075,United Kingdom
INV-502052,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-10-03 15:08:30,16.75,CUST-10771,United Kingdom
INV-504089,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-04-22 06:38:22,14.5,CUST-10913,United Kingdom
INV-502847,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-08-12 15:36:28,16.75,CUST-10885,United Kingdom
INV-500357,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-08-02 05:52:44,19.99,CUST-10518,United Kingdom
INV-504420,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-02-28 22:33:24,14.5,CUST-11192,United Kingdom
INV-500750,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,5,2025-11-23 00:29:32,14.5,CUST-10701,Netherlands
INV-503250,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,6,2025-04-19 14:44:14,34.5,CUST-11163,United States
INV-504351,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-06-06 15:14:38,14.5,CUST-10346,United Kingdom
INV-502258,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-07-10 08:57:18,34.5,CUST-10057,United Kingdom
INV-500910,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-07-19 16:11:33,18.25,CUST-10657,United Kingdom
INV-503810,PROD-104,Organic Lavender Candle,Home Decor,1,2025-11-08 22:34:58,12.0,CUST-10177,Spain
INV-500583,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-07-15 02:00:13,28.99,CUST-10464,Germany
INV-503438,PROD-106,Leather Executive Notebook,Stationery,1,2025-02-04 04:09:01,22.5,CUST-11150,United Kingdom
INV-500576,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-09-03 04:26:04,24.0,CUST-11068,United Kingdom
INV-502576,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-08-25 07:27:35,45.0,CUST-10189,United Kingdom
INV-501871,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-04-14 16:19:29,18.25,CUST-10365,Australia
INV-501152,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-01-07 23:11:44,16.75,CUST-10192,Spain
INV-501783,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-10-10 00:17:26,18.25,CUST-10566,Australia
INV-501093,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-01-01 04:08:29,24.0,CUST-10293,United Kingdom
INV-502099,PROD-104,Organic Lavender Candle,Home Decor,1,2025-08-07 21:58:34,12.0,CUST-10771,United Kingdom
INV-502141,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-08-18 06:29:28,89.99,CUST-11010,United Kingdom
INV-502133,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-06-21 19:47:35,9.99,CUST-10526,United Kingdom
INV-500517,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-03-28 22:38:16,16.75,CUST-10148,United Kingdom
INV-500741,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-02-10 04:20:24,18.25,CUST-10148,United States
INV-502477,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-05-03 02:52:32,18.25,CUST-10250,Germany
INV-502876,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,4,2025-11-27 22:22:19,16.75,CUST-10434,United Kingdom
INV-500042,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-10-25 02:33:43,16.75,CUST-10213,United Kingdom
INV-503441,PROD-104,Organic Lavender Candle,Home Decor,2,2025-06-27 21:44:14,12.0,CUST-10619,United Kingdom
INV-500403,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-03-04 18:34:11,14.5,CUST-10034,United Kingdom
INV-501326,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-06-14 13:54:04,14.5,CUST-10380,Netherlands
INV-502216,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,3,2025-07-06 23:36:40,9.99,CUST-10771,United Kingdom
INV-502149,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-07-28 08:43:39,16.75,CUST-10226,United Kingdom
INV-502393,PROD-106,Leather Executive Notebook,Stationery,1,2025-08-15 03:49:27,22.5,CUST-10219,United Kingdom
INV-502650,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-02-17 20:00:02,89.99,CUST-11163,United Kingdom
INV-504345,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-08-12 08:37:08,9.99,CUST-10797,Germany
INV-500877,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-01-03 13:19:13,45.0,CUST-10264,United Kingdom
C501886,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,-1,2025-06-24 16:06:05,18.25,CUST-10786,United Kingdom
INV-501303,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-04-09 19:22:56,18.25,CUST-10335,United Kingdom
INV-501740,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-04-26 08:44:19,28.99,CUST-10960,United Kingdom
INV-501112,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-09-27 22:52:11,24.0,CUST-10331,United Kingdom
INV-503876,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-09-10 06:51:29,16.75,CUST-10772,United Kingdom
INV-501898,PROD-106,Leather Executive Notebook,Stationery,3,2025-11-13 22:20:46,22.5,CUST-10723,United Kingdom
INV-500247,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-04-05 18:53:02,45.0,CUST-10630,United Kingdom
INV-503260,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-09-30 00:55:46,14.5,CUST-10705,United States
C500567,PROD-106,Leather Executive Notebook,Stationery,-3,2025-01-24 12:32:59,22.5,CUST-11066,United Kingdom
INV-503809,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-04-26 11:15:17,19.99,CUST-10979,United Kingdom
INV-501188,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-05-31 19:21:18,34.5,CUST-10687,France
INV-502595,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-12-04 22:40:06,34.5,CUST-10441,United Kingdom
INV-501353,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-02-19 20:10:23,45.0,CUST-10610,United Kingdom
INV-503612,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,10,2025-07-25 22:32:51,18.25,CUST-10436,France
INV-500980,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,2,2025-12-01 16:21:56,14.5,CUST-10958,United Kingdom
INV-500168,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-03-20 13:29:35,89.99,CUST-10901,France
INV-503164,PROD-106,Leather Executive Notebook,Stationery,2,2025-03-11 12:30:39,22.5,CUST-11148,France
INV-502671,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-01-27 13:52:35,45.0,CUST-10800,United Kingdom
INV-500378,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-09-28 22:17:40,16.75,CUST-11170,United Kingdom
INV-501932,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-02-19 15:31:11,28.99,CUST-10170,United Kingdom
INV-500193,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-10-19 16:51:18,14.5,CUST-10309,United Kingdom
INV-500263,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-09-04 08:42:31,24.0,CUST-10978,Spain
INV-501471,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-09-21 16:51:33,28.99,CUST-10351,United Kingdom
INV-502015,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-03-20 08:43:53,19.99,CUST-10859,United Kingdom
INV-501300,PROD-102,Wireless Ergonomic Mouse,Electronics,10,2025-07-09 20:46:37,28.99,CUST-10995,United Kingdom
INV-503200,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-02-16 21:56:55,18.25,CUST-10140,Germany
INV-503373,PROD-104,Organic Lavender Candle,Home Decor,5,2025-12-27 04:23:24,12.0,CUST-11193,United States
INV-500573,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-12-20 12:31:41,24.0,CUST-10745,United Kingdom
C501537,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,-2,2025-12-18 16:41:55,14.5,CUST-10220,Germany
INV-501383,PROD-106,Leather Executive Notebook,Stationery,1,2025-07-08 21:46:03,22.5,CUST-10742,United Kingdom
INV-501380,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-09-13 12:25:00,19.99,CUST-10839,United Kingdom
INV-503537,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-08-10 21:32:56,24.0,CUST-10112,United Kingdom
INV-503159,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,3,2025-08-29 05:24:37,18.25,CUST-11071,United Kingdom
INV-501523,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,6,2025-09-26 04:28:47,18.25,CUST-11107,United Kingdom
INV-503932,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-01-01 07:14:09,28.99,CUST-10675,United Kingdom
INV-503622,PROD-105,Noise-Cancelling Headphones,Electronics,2,2025-02-03 03:27:53,89.99,CUST-10172,France
INV-500895,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-03-20 22:50:45,24.0,CUST-10144,United Kingdom
INV-503393,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-08-24 17:10:36,19.99,CUST-10761,United Kingdom
INV-500464,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-11-30 11:47:44,9.99,CUST-10544,United Kingdom
C501610,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,-2,2025-12-15 03:48:34,18.25,CUST-10320,France
INV-500612,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-04-08 16:54:38,24.0,CUST-11171,United Kingdom
INV-503212,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-03-23 09:30:08,34.5,CUST-10705,Spain
INV-500604,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,4,2025-07-11 20:44:43,18.25,CUST-10125,United Kingdom
INV-500620,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-09-10 22:43:23,19.99,CUST-10911,France
INV-502602,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-02-07 11:31:54,14.5,CUST-10674,United Kingdom
INV-502183,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-01-14 01:25:36,18.25,CUST-11152,United Kingdom
INV-503800,PROD-106,Leather Executive Notebook,Stationery,5,2025-12-13 08:45:16,22.5,CUST-10682,United Kingdom
INV-500155,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,1,2025-11-06 21:23:02,14.5,CUST-11016,United States
INV-503353,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-07-28 17:44:38,16.75,CUST-11098,United Kingdom
INV-503911,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-12-23 12:31:39,18.25,CUST-10215,France
INV-502917,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-03-30 03:39:48,18.25,CUST-10742,France
INV-503117,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,5,2025-02-25 14:13:08,9.99,CUST-10236,United Kingdom
INV-502715,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,10,2025-04-04 01:32:40,24.0,CUST-10095,Australia
INV-504339,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,1,2025-04-03 10:06:37,24.0,CUST-10911,United States
INV-500449,PROD-106,Leather Executive Notebook,Stationery,5,2025-12-06 21:26:33,22.5,CUST-10071,United Kingdom
INV-503961,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-03-26 10:34:42,24.0,CUST-10917,United Kingdom
INV-501069,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-09-02 23:26:16,89.99,CUST-10951,France
INV-504017,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-01-22 11:30:30,34.5,CUST-10051,United Kingdom
INV-503591,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-10-18 14:02:02,45.0,CUST-10976,Spain
INV-502819,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-09-29 11:13:17,28.99,CUST-10154,Netherlands
INV-502285,PROD-105,Noise-Cancelling Headphones,Electronics,5,2025-11-02 21:21:00,89.99,CUST-10319,United Kingdom
INV-502035,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,2,2025-05-02 07:00:47,19.99,CUST-10300,United Kingdom
INV-501190,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-05-08 23:04:54,16.75,CUST-10194,Germany
INV-501399,PROD-104,Organic Lavender Candle,Home Decor,3,2025-04-23 05:32:23,12.0,CUST-11049,Spain
INV-503740,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,3,2025-09-30 10:57:40,34.5,CUST-10208,United Kingdom
INV-502248,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-12-02 11:39:46,18.25,CUST-10732,Netherlands
INV-502793,PROD-106,Leather Executive Notebook,Stationery,4,2025-05-10 12:21:54,22.5,CUST-10845,United Kingdom
INV-500723,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-05-12 22:28:28,34.5,CUST-10797,United Kingdom
INV-501441,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,3,2025-03-26 14:33:05,16.75,CUST-10996,United Kingdom
INV-500086,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,6,2025-12-16 03:30:31,24.0,CUST-10252,France
INV-504149,PROD-106,Leather Executive Notebook,Stationery,1,2025-03-22 18:36:48,22.5,CUST-10943,United Kingdom
INV-501751,PROD-111,Ceramic Pour-Over Coffee Dripper,Kitchen,1,2025-11-21 07:29:15,19.99,CUST-10613,United Kingdom
INV-503420,PROD-106,Leather Executive Notebook,Stationery,1,2025-03-10 13:09:27,22.5,CUST-11199,United Kingdom
INV-502483,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-05-28 08:33:22,9.99,CUST-10183,Netherlands
INV-503212,PROD-106,Leather Executive Notebook,Stationery,2,2025-01-16 19:33:28,22.5,CUST-10498,United Kingdom
INV-503922,PROD-110,Smart LED Desk Lamp,Electronics,4,2025-11-03 12:02:21,45.0,CUST-10856,Germany
INV-502489,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-04-15 03:48:11,16.75,CUST-10999,United Kingdom
INV-501486,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-06-14 01:19:13,18.25,CUST-10485,United Kingdom
INV-503527,PROD-104,Organic Lavender Candle,Home Decor,4,2025-07-20 00:30:33,12.0,CUST-10194,France
INV-500072,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,5,2025-07-16 02:24:05,18.25,CUST-11044,Netherlands
INV-500724,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-07-04 11:07:04,16.75,CUST-10797,United Kingdom
INV-503754,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-11-18 22:23:18,89.99,CUST-11078,United Kingdom
INV-502995,PROD-110,Smart LED Desk Lamp,Electronics,2,2025-09-22 02:40:35,45.0,CUST-11025,Netherlands
INV-504365,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,5,2025-12-29 05:34:24,34.5,CUST-10303,United Kingdom
INV-500218,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,1,2025-04-10 02:45:40,9.99,CUST-11164,United Kingdom
INV-500546,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,2,2025-12-08 09:46:09,34.5,CUST-10088,Australia
INV-503729,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,2,2025-11-16 21:50:47,16.75,CUST-10879,United Kingdom
INV-501968,PROD-110,Smart LED Desk Lamp,Electronics,5,2025-08-02 12:33:20,45.0,CUST-11007,United Kingdom
INV-501259,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-10-05 15:38:49,24.0,CUST-10585,France
INV-502933,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-06-11 14:12:38,18.25,CUST-10304,United Kingdom
INV-502509,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-06-06 08:15:39,89.99,CUST-11188,United Kingdom
INV-504008,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,2,2025-09-08 04:56:33,18.25,CUST-10530,United Kingdom
INV-504072,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-04-07 23:14:42,28.99,CUST-10283,Germany
INV-501562,PROD-103,Stainless Steel Water Bottle,Sports & Outdoors,1,2025-01-18 09:21:17,18.25,CUST-10440,United States
INV-502085,PROD-112,Minimalist Cotton Tote Bag,Fashion Accessories,2,2025-11-23 18:24:56,9.99,CUST-10187,United Kingdom
INV-501789,PROD-110,Smart LED Desk Lamp,Electronics,3,2025-04-07 06:23:42,45.0,CUST-10846,United Kingdom
INV-503669,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-01-01 19:45:48,16.75,CUST-10962,United Kingdom
INV-502481,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,1,2025-08-04 07:34:25,16.75,CUST-11181,United Kingdom
INV-503430,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-05-12 00:08:50,34.5,CUST-10744,Germany
INV-500204,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,3,2025-09-17 02:39:11,24.0,CUST-10626,United Kingdom
INV-500741,PROD-101,Vintage Ceramic Teapot,Home & Kitchen,3,2025-05-05 07:53:14,14.5,CUST-10556,United Kingdom
INV-502888,PROD-109,Insulated Lunch Cooler Bag,Travel & Outdoors,5,2025-03-23 11:56:27,16.75,CUST-10998,United Kingdom
INV-503494,PROD-110,Smart LED Desk Lamp,Electronics,10,2025-10-10 13:36:24,45.0,CUST-10629,United States
INV-504263,PROD-102,Wireless Ergonomic Mouse,Electronics,1,2025-06-20 18:54:56,28.99,CUST-10371,Germany
INV-501105,PROD-106,Leather Executive Notebook,Stationery,1,2025-02-28 23:21:37,22.5,CUST-10308,United Kingdom
INV-501823,PROD-110,Smart LED Desk Lamp,Electronics,20,2025-02-01 19:37:19,45.0,CUST-10101,United Kingdom
INV-502647,PROD-105,Noise-Cancelling Headphones,Electronics,1,2025-06-10 06:41:30,89.99,CUST-10131,United Kingdom
INV-504197,PROD-106,Leather Executive Notebook,Stationery,1,2025-10-11 23:10:57,22.5,CUST-10201,Germany
INV-500088,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-04-16 00:46:21,34.5,CUST-11170,United Kingdom
INV-503381,PROD-108,Aroma Essential Oil Diffuser,Health & Wellness,1,2025-04-15 04:48:50,34.5,CUST-10293,Netherlands
INV-503511,PROD-110,Smart LED Desk Lamp,Electronics,1,2025-08-16 01:27:37,45.0,CUST-10032,Germany
INV-502206,PROD-102,Wireless Ergonomic Mouse,Electronics,2,2025-07-07 16:17:22,28.99,CUST-10017,United Kingdom
INV-503185,PROD-107,Bamboo Cutting Board Set,Home & Kitchen,2,2025-03-11 15:04:09,24.0,CUST-10871,United Kingdom
INV-504381,PROD-102,Wireless Ergonomic Mouse,Electronics,3,2025-11-14 14:21:03,28.99,CUST-10671,United Kingdom
